Node Name,Category,Functionality,Platform Compatibility,Description
Amazon SQS Trigger,Triggers,Fires a workflow upon receiving an Amazon SQS message,Cloud,The Amazon SQS Trigger fires a workflow whenever a Losant integration receives an Amazon Simple Queue Service (SQS) message.
Application: Sync Trigger,Triggers,Fires a workflow when Gateway Edge Agent configuration or peripherals change,Gateway Edge Agent,"The Application: Sync Trigger fires a workflow whenever the Gateway Edge Agent receives updated peripherals, global values, or changes to its Edge Compute device configuration."
Azure Event Hubs Trigger,Triggers,Fires a workflow upon receiving an Azure Event Hubs message,Cloud,The Azure Event Hubs Trigger fires a workflow whenever a Losant integration receives an Azure Event Hubs message.
Beckhoff Trigger,Triggers,Fires a workflow when Beckhoff TwinCAT PLC symbols receive new values,Gateway Edge Agent,The Beckhoff Trigger fires a workflow whenever monitored symbols on a Beckhoff TwinCAT PLC receive new values.
Data Table Trigger,Triggers,Fires a workflow when Data Table rows are modified,Cloud,"The Data Table Trigger fires a workflow whenever a row is added, updated, or removed from a Losant Data Table."
Device: Command Trigger,Triggers,Fires a workflow when an Edge or Embedded device receives an MQTT command,"Gateway Edge Agent, Embedded Edge Agent",The Device: Command Trigger fires a workflow whenever its Edge Compute or Embedded Device receives a command over the MQTT broker.
Device: Connect Trigger,Triggers,Fires a workflow when devices connect to the platform,Cloud,The Device: Connect Trigger fires a workflow whenever one or more devices connect to the Losant Platform.
Device: Create Trigger Node,Triggers,Fires a workflow when a new device is created,Cloud,The Device: Create Trigger fires a workflow whenever a device is created within your application.
Device: Disconnect Trigger,Triggers,Fires a workflow when devices disconnect from the platform,Cloud,The Device: Disconnect Trigger fires a workflow whenever one or more devices disconnect from the Losant Platform.
Device: Inactive Trigger,Triggers,Fires a workflow when devices fail to report state for a set period,Cloud,The Device: Inactive Trigger fires a workflow whenever one or more devices do not report state for the configured period of time.
Device: Startup Trigger,Triggers,Fires a workflow when the Gateway Edge Agent starts,Gateway Edge Agent,The Device: Startup Trigger fires a workflow whenever the Gateway Edge Agent starts or restarts.
Device: State Trigger,Triggers,Fires a workflow when a device reports state to the cloud,Cloud,The Device: State Trigger fires a workflow whenever a device reports state to the Losant cloud platform.
Direct Trigger,Triggers,Fires an Embedded Workflow via method invocation,Embedded Edge Agent,"The Direct Trigger fires an Embedded Workflow whenever the ""eea_direct_trigger"" method is invoked within the Embedded Edge Agent."
EEA: Init Trigger,Triggers,Fires a workflow when the EEA init function is called,Embedded Edge Agent,"The EEA: Init Trigger fires a workflow whenever the ""eea_init"" function is called within the Embedded Edge Agent."
Email Trigger,Triggers,Fires a workflow upon receiving an email,Cloud,The Email Trigger fires a workflow whenever your application receives an email at its address or a subaddress.
Endpoint Trigger,Triggers,Fires a workflow when an Experience Endpoint receives an HTTP request,Cloud,The Endpoint Trigger fires a workflow when the selected Experience Endpoint receives an HTTP request.
Event Trigger,Triggers,Fires a workflow when an event is created or updated,Cloud,The Event Trigger fires a workflow whenever an event matching the criteria defined in the trigger's configuration is created or changes state.
File Tail Trigger,Triggers,Monitors and analyzes logs/files on the agent,Gateway Edge Agent,The File Tail Trigger allows you to monitor and analyze logs and other files on the Gateway Edge Agent's container or host file system.
File Trigger,Triggers,Fires a workflow on Application File changes,Cloud,"The File Trigger allows you to fire a workflow when a file is created, modified, or deleted from a directory in your Application Files."
File Watch Trigger,Triggers,Fires a workflow when local files or directories change,Gateway Edge Agent,The File Watch Trigger fires a workflow whenever the file or directory changes are observed on the Gateway Edge Agent.
GCP Pub/Sub Trigger,Triggers,Fires a workflow when a GCP Pub/Sub message is received,Cloud,The GCP Pub/Sub Trigger fires a workflow whenever a message is sent to a Losant GCP Pub/Sub integration.
HTTP Request Trigger,Triggers,Fires a workflow on local web server requests,Gateway Edge Agent,The HTTP Request Trigger fires a workflow whenever the Gateway Edge Agent receives a request on its local web server.
Job: Complete Trigger,Triggers,Fires a workflow when a Resource Job finishes,Cloud,The Job: Complete Trigger fires a workflow whenever a Resource Job completes all iterations or is canceled during execution.
Job: Iteration Trigger,Triggers,Fires a workflow at the start of a Resource Job iteration,Cloud,The Job: Iteration Trigger fires a workflow whenever an iteration of a Resource Job begins.
Job: Timeout Trigger,Triggers,Fires a workflow when a Resource Job iteration times out,Cloud,The Job: Iteration Timeout Trigger fires a workflow whenever an iteration of a Resource Job is not acknowledged before the Resource Job’s configured timeout.
MQTT Trigger,Triggers,Fires a workflow on MQTT message publication,"Cloud, Gateway Edge Agent","The MQTT Trigger fires a workflow whenever a message is published to a topic on the Losant MQTT Broker, the Gateway Edge Agent Local Broker, an external broker, or an MQTT integration."
Notebook Trigger,Triggers,Fires a workflow when a Notebook execution completes,Cloud,"The Notebook Trigger fires a workflow whenever the selected Losant Notebook has completed an execution, either successfully or with errors."
OPC UA Trigger,Triggers,Fires a workflow on OPC UA node value changes,Gateway Edge Agent,The OPC UA Trigger fires a workflow whenever an Edge Compute Device receives a change message on the configured OPC UA monitored node.
Particle Trigger,Triggers,Fires a workflow when a Particle integration event is received,Cloud,The Particle Trigger fires a workflow whenever an event is received on the Losant Particle integration.
Redis Trigger,Triggers,Fires a workflow on Redis Pub/Sub channel messages,Gateway Edge Agent,The Redis Trigger fires a workflow whenever the Edge Compute Device receives a message on the configured Redis Pub/Sub channel.
Serial Trigger,Triggers,Fires a workflow when data is received over Serial,Gateway Edge Agent,The Serial Trigger fires a workflow whenever the Edge Compute Device receives data over a Serial connection.
SNMP Trap: Trigger,Triggers,Fires a workflow on SNMP traps or inform requests,Gateway Edge Agent,The SNMP: Trap Trigger fires a workflow whenever the Edge Compute Device receives an SNMP trap message or an SNMP inform request.
Timer Trigger,Triggers,Fires a workflow on a scheduled interval,"Cloud, Gateway Edge Agent, Embedded Edge Agent",The Timer Trigger fires a workflow on a scheduled interval.
UDP Message Trigger,Triggers,Fires a workflow on received UDP datagrams,Gateway Edge Agent,The UDP Message Trigger fires a workflow whenever the Edge Compute Device receives a UDP datagram on the configured port.
Virtual Button Trigger,Triggers,Fires a workflow when the virtual button is clicked,"Cloud, Gateway Edge Agent","The Virtual Button Trigger fires a workflow when the ""virtual button"" is pressed."
Webhook Trigger,Triggers,Fires a workflow on Webhook HTTP or WebSocket requests,Cloud,The Webhook Trigger fires a workflow whenever a Losant webhook receives an HTTP request or WebSocket message.
WebSocket Trigger,Triggers,Fires a workflow on WebSocket integration messages,Cloud,The WebSocket Trigger fires a workflow whenever a Losant WebSocket integration receives a message.
Workflow Error Trigger,Triggers,Fires a workflow when an error occurs in another workflow,"Cloud, Gateway Edge Agent",The Workflow Error Trigger fires a workflow whenever a halting error occurs in a separate workflow execution.
Array Node,Logic Nodes,Performs operations on payload arrays,"Cloud, Gateway Edge Agent, Embedded Edge Agent",The Array Node performs operations against an array-type value on the payload.
Base64: Decode Node,Logic Nodes,Decodes Base64 to binary,"Cloud, Gateway Edge Agent",The Base64: Decode Node takes a Base64-encoded string and decodes it as a binary array.
Base64: Encode Node,Logic Nodes,Encodes data to Base64,"Cloud, Gateway Edge Agent",The Base64: Encode Node takes a string or binary array and encodes it to a Base64 string.
CBOR: Decode Node,Logic Nodes,Decodes CBOR to JSON,"Cloud, Gateway Edge Agent",The CBOR: Decode Node takes a CBOR-encoded value on the payload and converts it into a JSON object.
CBOR: Encode Node,Logic Nodes,Encodes JSON to CBOR,"Cloud, Gateway Edge Agent",The CBOR: Encode Node converts a JSON object into Concise Binary Object Representation format.
Conditional Node,Logic Nodes,Branches workflow based on expressions,"Cloud, Gateway Edge Agent, Embedded Edge Agent",The Conditional Node branches a workflow based on the result of an expression.
CSV: Decode Node,Logic Nodes,Decodes CSV to object array,"Cloud, Gateway Edge Agent",The CSV: Decode takes a CSV string and decodes it into an object array.
CSV: Encode Node,Logic Nodes,Encodes object array to CSV,"Cloud, Gateway Edge Agent",The CSV: Encode Node takes an object array and encodes it into a CSV string.
Date/Time Node,Logic Nodes,Parses and manipulates dates,"Cloud, Gateway Edge Agent",The Date/Time Node allows for parsing and manipulating dates and timestamps.
Delay Node,Logic Nodes,Pauses workflow execution,"Cloud, Gateway Edge Agent",The Delay Node pauses a workflow execution for a short period of time.
Fast Fourier Transform Node,Logic Nodes,Converts data points to frequency domain,"Cloud, Gateway Edge Agent",The Fast Fourier Transform Node takes an array of data points from one domain and converts it into a frequency representation using a fast Fourier transform algorithm.
Function Node,Logic Nodes,Executes custom JavaScript,"Cloud, Gateway Edge Agent","The Function Node allows execution of arbitrary, user-defined JavaScript."
Generate ID Node,Logic Nodes,"Creates UUID, Object, or Nano IDs","Cloud, Gateway Edge Agent","The Generate ID Node creates IDs in UUID, Object ID, or Nano ID format."
Geofence Node,Logic Nodes,Branches workflow based on geographic area,"Cloud, Gateway Edge Agent",The Geofence Node branches a workflow based on whether a given geographic point is within a defined area.
Hash Node,Logic Nodes,Generates cryptographic hashes,"Cloud, Gateway Edge Agent",The Hash Node creates a cryptographic hash through a variety of algorithms.
HTML/XML Parser Node,Logic Nodes,Parses HTML/XML into a tree,"Cloud, Gateway Edge Agent",The HTML/XML Parser Node takes an HTML or XML document string and parses it into a traversable tree.
JSON Decode Node,Logic Nodes,Parses JSON string to object,"Cloud, Gateway Edge Agent",The JSON: Decode Node takes a JSON string and parses it into an object.
JSON Encode Node,Logic Nodes,Converts object to JSON string,"Cloud, Gateway Edge Agent",The JSON: Encode Node takes an object and converts it into a JSON string.
JWT: Create Node,Logic Nodes,Generates JSON Web Tokens,"Cloud, Gateway Edge Agent","The JWT: Create Node generates a JSON Web Token from a JSON payload, optional headers, and a secret."
JWT: Decode Node,Logic Nodes,Decodes JSON Web Tokens,"Cloud, Gateway Edge Agent",The JWT: Decode Node takes a JSON Web Token and decodes it to an object.
JWT: Verify Node,Logic Nodes,Validates JSON Web Tokens,"Cloud, Gateway Edge Agent",The JWT: Verify Node branches a workflow based on whether a provided JSON Web Token is valid.
Latch Node,Logic Nodes,Provides one-time workflow branching,"Cloud, Gateway Edge Agent","The Latch Node allows for easy ""one-time"" branching of a workflow, with the ability to reset the branch condition."
Loop Node,Logic Nodes,Iterates over payload values,"Cloud, Gateway Edge Agent, Embedded Edge Agent","The Loop Node allows for iterating over values on your payload, or for performing a certain operation a set number of times."
Math Node,Logic Nodes,Performs mathematical calculations,"Cloud, Gateway Edge Agent, Embedded Edge Agent",The Math Node performs expression-based mathematical calculations.
Mutate Node,Logic Nodes,Modifies payload values,"Cloud, Gateway Edge Agent, Embedded Edge Agent","The Mutate Node modifies, moves, copies, or removes values from a workflow payload."
Object Node,Logic Nodes,Operations on objects/arrays,"Cloud, Gateway Edge Agent",The Object Node performs operations against objects or arrays on the payload.
On Change Node,Logic Nodes,Branches based on value changes,"Cloud, Gateway Edge Agent",The On Change Node branches a workflow based on whether a value has changed since previous executions of the workflow.
